('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         817663 function calls (793369 primitive calls) in 2.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      740    0.001    0.000    0.003    0.000 filter.py:612(_attribute_match)
      273    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
    215/4    0.001    0.000    0.488    0.122 <frozen importlib._bootstrap>:1349(_find_and_load)
      255    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     2704    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
    172/1    0.001    0.000    2.355    2.355 {built-in method builtins.exec}
     5523    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      908    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     9195    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6215    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
        1    0.001    0.001    0.001    0.001 models.py:909(text)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      340    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     2713    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2705    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      194    0.001    0.000    0.007    0.000 _compiler.py:514(_compile_info)
     1058    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
     8997    0.001    0.000    0.001    0.000 typing.py:2371(cast)
     1341    0.001    0.000    0.002    0.000 filter.py:623(_match_attribute_value_helper)
       11    0.001    0.000    0.463    0.042 {method 'join' of 'bytes' objects}
     4264    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      198    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      194    0.001    0.000    0.107    0.001 _compiler.py:743(compile)
      287    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
       17    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
      255    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     3742    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    214/4    0.001    0.000    0.487    0.122 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
      295    0.001    0.000    1.350    0.005 ssl.py:1289(recv_into)
      949    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
        3    0.001    0.000    0.001    0.000 socket.py:221(__init__)
      194    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1368    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
      799    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
