('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         718700 function calls (697884 primitive calls) in 2.707 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      908    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      907    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      907    0.000    0.000    0.000    0.000 socket.py:744(readable)
      906    0.002    0.000    1.959    0.002 ssl.py:1289(recv_into)
      906    0.001    0.000    1.957    0.002 ssl.py:1129(read)
      906    0.001    0.000    1.961    0.002 socket.py:706(readinto)
      906    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      906    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      906    1.956    0.002    1.956    0.002 {method 'read' of '_ssl._SSLSocket' objects}
      827    0.000    0.000    0.000    0.000 element.py:2160(get)
      742    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      740    0.001    0.000    0.003    0.000 filter.py:612(_attribute_match)
      740    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      732    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      726    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      725    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      686    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      674    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      672    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
  647/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      641    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      592    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      581    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      581    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      577    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      576    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      564    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      564    0.005    0.000    0.007    0.000 _compiler.py:241(_optimize_charset)
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      509    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      498    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      498    0.005    0.000    0.005    0.000 {built-in method nt.stat}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      388    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      371    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      355    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      323    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      323    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      322    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
  312/311    0.003    0.000    0.040    0.000 {built-in method builtins.__build_class__}
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      303    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      296    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      291    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      286    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      284    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      278    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      274    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      273    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      266    0.000    0.000    0.091    0.000 __init__.py:287(compile)
      266    0.001    0.000    0.091    0.000 __init__.py:330(_compile)
      265    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      264    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      264    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      257    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      257    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      257    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      257    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      257    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      251    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
    249/9    0.002    0.000    0.180    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      240    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      233    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      192    0.032    0.000    0.032    0.000 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      185    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      182    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  179/146    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      176    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      174    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
      165    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      160    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      155    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      155    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      155    0.000    0.000    0.035    0.000 _compiler.py:576(_code)
      155    0.000    0.000    0.088    0.001 _compiler.py:743(compile)
      155    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      155    0.000    0.000    0.053    0.000 _parser.py:970(parse)
      155    0.001    0.000    0.006    0.000 _compiler.py:514(_compile_info)
      155    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      155    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
      155    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      155    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      155    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      147    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      147    0.000    0.000    0.000    0.000 enum.py:1333(value)
      145    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      144    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      142    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      142    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      135    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      131    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      130    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      130    0.000    0.000    0.005    0.000 _parser.py:97(closegroup)
      129    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      129    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      127    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      119    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
      118    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
    117/4    0.000    0.000    0.183    0.046 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    117/4    0.001    0.000    0.183    0.046 <frozen importlib._bootstrap>:1349(_find_and_load)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      117    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      116    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      116    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      116    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      110    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    110/5    0.000    0.000    0.181    0.036 <frozen importlib._bootstrap>:911(_load_unlocked)
  110/107    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      109    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      106    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      106    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
